Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,138091.94754222581646682615,28.44930542908072800439,5,0,2,7,8
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,91304.61223777246609739952,14.71515798055899724365,5,0,2,7,9
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,10916.68520051070142182248,0.00000000000000000000,0,0,0,0,0
India,Ladakh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,2673.05245777418353317385,0.55069457091927199561,5,0,2,7,8
India,Ladakh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,1767.38776222753390260048,0.28484201944100275635,5,0,2,7,9
India,Ladakh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,211.31479948929857817752,0.00000000000000000000,0,0,0,0,0
India,Manipur,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,40896,0,0,0,0,0,0
India,Manipur,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,29256,0,0,0,0,0,0
India,Manipur,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,1114,0,0,0,0,0,0
India,Meghalaya,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,109818,0,0,0,0,0,0
India,Meghalaya,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,650,0,0,0,0,0,0
India,Meghalaya,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,631,0,0,0,0,0,0
India,Mizoram,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,9459,0,0,0,0,0,0
India,Mizoram,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,92,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,26054,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,1,0,0,0,0,0,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,5151.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,29.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,76.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,116275,156,21,6,3,30,30
India,Tripura,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,34645,98,22,7,4,33,32
India,Tripura,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,19496,7,18,1,2,21,21
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,All Category,116304,0,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,Others,112905,0,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,SC,51,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,66,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,190,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,1,0,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,299,0,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,31211,81,47,31,4,82,77
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,12665,32,52,29,3,84,80
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,All Category,10771,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,1014,83,56,14,4,74,116
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Others,40885,4621,57,15,4,76,115
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,SC,11267,1489,54,16,4,74,117
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,All Category,597874,0,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,Minority,31020,15619,78,10,24,112,95
