Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,167158,157798,147268,0,601,167074
India,Goa,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,480804,102114,3588,11,11,480770
India,Haryana,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,625,701,480,0,69,625
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,3766,3882,3666,0,30,3766
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,38195,48252,35724,0,1480,38178
India,Jharkhand,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,332805,346955,323240,9,11497,332144
India,Karnataka,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,4250,2,2,0,0,4248
India,Kerala,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,32,0,0,0,0,32
India,Ladakh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,811,451,0,0,0,811
India,Lakshadweep,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,602903,623875,563356,4,86419,602435
India,Maharashtra,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,28355,263152,24059,0,217,28314
India,Manipur,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,13658,15437,9921,0,17,13658
India,Meghalaya,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,24032,24059,21918,0,123,24015
India,Mizoram,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,5457,5432,3130,0,0,5455
India,Nagaland,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,7870,7889,6681,0,0,7870
India,Odisha,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,178433,186710,171435,0,4397,178408
India,Punjab,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,572,0,0,0,0,572
India,Rajasthan,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,149031,194778,142108,0,9231,148791
India,Sikkim,"Financial Year (Apr - Mar), 2020",03-Dec-2025,All Category,287,253,0,0,0,287
